"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","dropout","epochs","gpu","layers","platform","trial_number","epoch","final_overfitting_gap","final_train_loss","final_val_loss","overfitting_gap","train_loss","val_loss"
"trial_0_L12_D0.67_B64","finished","-","","","2026-02-18T01:45:14.000Z","692","","64","0.6663751235421447","7","T4","12","modal","0","7","-0.0001084335928317158","0.00839381999336183","0.008285386400530115","-0.0001084335928317158","0.00839381999336183","0.008285386400530115"
"trial_7_L12_D0.65_B32","finished","-","","","2026-02-18T03:04:11.000Z","677","","32","0.6456853181546331","7","T4","12","modal","7","7","-0.0008368173892506292","0.006578193922527134","0.005741376533276505","-0.0008368173892506292","0.006578193922527134","0.005741376533276505"
"trial_3_L12_D0.57_B16","finished","-","","","2026-02-18T02:15:24.000Z","963","","16","0.5723277806071385","7","T4","12","modal","3","7","-0.0006956571589689705","0.005117025478510186","0.004421368319541216","-0.0006956571589689705","0.005117025478510186","0.004421368319541216"
"trial_9_L8_D0.52_B64","finished","-","","","2026-02-18T03:27:13.000Z","483","","64","0.5193071031467674","7","T4","8","modal","9","7","-0.0006487238439149227","0.004829903622157872","0.004181179778242949","-0.0006487238439149227","0.004829903622157872","0.004181179778242949"
"trial_8_L12_D0.38_B64","finished","-","","","2026-02-18T03:15:28.000Z","705","","64","0.3779895271330654","7","T4","12","modal","8","7","-0.0004482117754523642","0.004590771076269448","0.004142559300817084","-0.0004482117754523642","0.004590771076269448","0.004142559300817084"
"trial_14_L10_D0.50_B32","finished","-","","","2026-02-18T04:20:42.000Z","596","","32","0.5015163175357749","7","T4","10","modal","14","7","-0.0006688289707970046","0.0043972586467862125","0.003728429675989208","-0.0006688289707970046","0.0043972586467862125","0.003728429675989208"
"trial_1_L11_D0.35_B32","finished","-","","","2026-02-18T01:56:46.000Z","650","","32","0.35007120237214534","7","T4","11","modal","1","7","-0.0007768974475163433","0.0036213576230220497","0.0028444601755057064","-0.0007768974475163433","0.0036213576230220497","0.0028444601755057064"
"trial_13_L7_D0.44_B16","finished","-","","","2026-02-18T04:08:57.000Z","705","","16","0.4388343264214995","7","T4","7","modal","13","7","-0.0007150035039521756","0.0031487527838908137","0.002433749279938638","-0.0007150035039521756","0.0031487527838908137","0.002433749279938638"
"trial_10_L6_D0.44_B32","finished","-","","","2026-02-18T03:35:16.000Z","433","","32","0.4406428978352869","7","T4","6","modal","10","7","-0.0007731717047244607","0.0031685124987270684","0.0023953407940026077","-0.0007731717047244607","0.0031685124987270684","0.0023953407940026077"
"trial_12_L9_D0.30_B16","finished","-","","","2026-02-18T03:55:12.000Z","824","","16","0.30197882516450103","7","T4","9","modal","12","7","-0.0005366603272268546","0.0028830524614313615","0.002346392134204507","-0.0005366603272268546","0.0028830524614313615","0.002346392134204507"
"trial_6_L8_D0.38_B16","finished","-","","","2026-02-18T02:51:29.000Z","761","","16","0.37664939501598255","7","T4","8","modal","6","7","-0.0006990640891017391","0.0030426587528781966","0.0023435946637764575","-0.0006990640891017391","0.0030426587528781966","0.0023435946637764575"
"trial_5_L6_D0.43_B32","finished","-","","","2026-02-18T02:44:12.000Z","436","","32","0.434816579923318","7","T4","6","modal","5","7","-0.0007986736184222593","0.0031340869572013615","0.002335413338779102","-0.0007986736184222593","0.0031340869572013615","0.002335413338779102"
"trial_15_L7_D0.40_B32","finished","-","","","2026-02-18T04:30:39.000Z","466","","32","0.39513183384968886","7","T4","7","modal","15","7","-0.0008316091931099812","0.0031617849529720844","0.0023301757598621032","-0.0008316091931099812","0.0031617849529720844","0.0023301757598621032"
"trial_16_L9_D0.30_B16","finished","-","","","2026-02-18T04:38:25.000Z","830","","16","0.3029166613625868","7","T4","9","modal","16","7","-0.0006399435603525487","0.002879082317231223","0.002239138756878674","-0.0006399435603525487","0.002879082317231223","0.002239138756878674"
"trial_11_L8_D0.32_B16","finished","-","","","2026-02-18T03:42:30.000Z","761","","16","0.3162841773293149","7","T4","8","modal","11","7","-0.0006124724486144257","0.0027733816356630995","0.0021609091870486738","-0.0006124724486144257","0.0027733816356630995","0.0021609091870486738"
"trial_4_L8_D0.30_B16","finished","-","","","2026-02-18T02:31:28.000Z","763","","16","0.3031827120911909","7","T4","8","modal","4","7","-0.0005885539250448345","0.0027368865851312876","0.002148332660086453","-0.0005885539250448345","0.0027368865851312876","0.002148332660086453"
"trial_2_L7_D0.31_B32","finished","-","","","2026-02-18T02:07:37.000Z","466","","32","0.3099553498361269","7","T4","7","modal","2","7","-0.0007250380109042106","0.0028269711344037205","0.00210193312349951","-0.0007250380109042106","0.0028269711344037205","0.00210193312349951"
"trial_17_L7_D0.59_B32","finished","-","","","2026-02-18T04:52:16.000Z","414","","32","0.5859634706542416","7","T4","7","modal","17","6","","","","-0.0004365588713895587","0.004735842172522098","0.004299283301132539"
